gid_1,province,year,month,burned_area_ha,fire_count
IDN.12_1,Kalimantan Barat,2013,1,685.0,4
IDN.12_1,Kalimantan Barat,2013,3,171.0,1
IDN.12_1,Kalimantan Barat,2013,6,85.0,1
IDN.14_1,Kalimantan Tengah,2013,6,64.0,1
IDN.12_1,Kalimantan Barat,2013,7,277.0,3
IDN.14_1,Kalimantan Tengah,2013,7,64.0,1
IDN.12_1,Kalimantan Barat,2013,8,6794.0,33
IDN.13_1,Kalimantan Selatan,2013,8,1944.0,10
IDN.14_1,Kalimantan Tengah,2013,8,3825.0,16
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2013,8,748.0,4
IDN.12_1,Kalimantan Barat,2013,9,6021.0,39
IDN.13_1,Kalimantan Selatan,2013,9,6900.0,33
IDN.14_1,Kalimantan Tengah,2013,9,5469.0,30
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2013,9,704.0,5
IDN.12_1,Kalimantan Barat,2013,10,3609.0,23
IDN.13_1,Kalimantan Selatan,2013,10,7434.0,44
IDN.14_1,Kalimantan Tengah,2013,10,15121.0,90
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2013,10,3054.0,21
IDN.12_1,Kalimantan Barat,2014,1,3328.0,27
IDN.14_1,Kalimantan Tengah,2014,1,768.0,7
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,1,106.0,1
IDN.12_1,Kalimantan Barat,2014,2,15081.0,99
IDN.14_1,Kalimantan Tengah,2014,2,917.0,10
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,2,1175.0,3
IDN.12_1,Kalimantan Barat,2014,3,1067.0,10
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,3,1304.0,6
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,4,256.0,3
IDN.12_1,Kalimantan Barat,2014,6,897.0,7
IDN.14_1,Kalimantan Tengah,2014,6,962.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,6,85.0,1
IDN.12_1,Kalimantan Barat,2014,7,10991.0,55
IDN.13_1,Kalimantan Selatan,2014,7,619.0,2
IDN.14_1,Kalimantan Tengah,2014,7,1454.0,7
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,7,427.0,3
IDN.12_1,Kalimantan Barat,2014,8,22969.0,171
