gid_1,province,year,month,burned_area_ha,fire_count
IDN.13_1,Kalimantan Selatan,2022,8,64.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2022,8,85.0,1
IDN.12_1,Kalimantan Barat,2023,4,128.0,1
IDN.12_1,Kalimantan Barat,2023,5,427.0,2
IDN.13_1,Kalimantan Selatan,2023,5,790.0,2
IDN.12_1,Kalimantan Barat,2023,6,683.0,4
IDN.13_1,Kalimantan Selatan,2023,6,150.0,1
IDN.14_1,Kalimantan Tengah,2023,6,64.0,1
IDN.12_1,Kalimantan Barat,2023,7,2503.0,15
IDN.13_1,Kalimantan Selatan,2023,7,2455.0,17
IDN.14_1,Kalimantan Tengah,2023,7,1345.0,9
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2023,7,321.0,2
IDN.12_1,Kalimantan Barat,2023,8,10898.0,66
IDN.13_1,Kalimantan Selatan,2023,8,6865.0,32
IDN.14_1,Kalimantan Tengah,2023,8,18714.0,66
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2023,8,5446.0,23
IDN.12_1,Kalimantan Barat,2023,9,19120.0,77
IDN.13_1,Kalimantan Selatan,2023,9,32879.0,126
IDN.14_1,Kalimantan Tengah,2023,9,51436.0,190
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2023,9,4145.0,21
IDN.12_1,Kalimantan Barat,2023,10,3845.0,21
IDN.13_1,Kalimantan Selatan,2023,10,9922.0,65
IDN.14_1,Kalimantan Tengah,2023,10,60823.0,275
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2023,10,4292.0,26
IDN.13_1,Kalimantan Selatan,2023,11,192.0,2
IDN.14_1,Kalimantan Tengah,2023,11,1430.0,12
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2023,11,598.0,3
IDN.12_1,Kalimantan Barat,2024,1,85.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,1,534.0,3
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,2,1902.0,9
IDN.12_1,Kalimantan Barat,2024,3,663.0,4
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,3,1111.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,4,2276.0,13
IDN.12_1,Kalimantan Barat,2024,5,85.0,1
IDN.14_1,Kalimantan Tengah,2024,5,85.0,1
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,5,64.0,1
IDN.12_1,Kalimantan Barat,2024,7,1476.0,10
IDN.14_1,Kalimantan Tengah,2024,7,278.0,1
IDN.12_1,Kalimantan Barat,2024,8,1945.0,11
IDN.14_1,Kalimantan Tengah,2024,8,469.0,5
IDN.12_1,Kalimantan Barat,2024,9,1579.0,11
IDN.13_1,Kalimantan Selatan,2024,9,1046.0,4
IDN.14_1,Kalimantan Tengah,2024,9,1752.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,9,5580.0,20
IDN.14_1,Kalimantan Tengah,2024,10,362.0,5
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2024,10,619.0,4
