bbox_pixels,bbox_window,composite_doy_max,composite_doy_min,composite_end,composite_start,doy,evi_mean_qa,evi_p05_qa,evi_p50_qa,evi_p95_qa,intersects_bbox,path,qa_pass_fraction_of_valid,qa_pass_pixels,sha256,tile,valid_evi_pixels,window_pixels,year
17368598,"[0, 957, 4583, 4800]",48,-1,2015-02-17,2015-02-02,33,0.548734,0.4012,0.5509,0.6918,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015033.h29v08.061.2021319064159.hdf,0.056127,446962,a74a75ad3fb19f96b483d151558ae7134b1cfbda968df0a94d88cfbe4d59e839,h29v08,7963445,17612469,2015
10999187,"[0, 0, 4583, 2403]",48,-1,2015-02-17,2015-02-02,33,0.573964,0.3802,0.5775,0.7476,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015033.h29v09.061.2021319045727.hdf,0.037565,211822,9ec435314aecb81f279b4eb0913fc3e9df1af3d7e0cf52ae93b79c46d59aa643,h29v09,5638776,11012949,2015
,,,,,,33,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015033.h30v08.061.2021319052700.hdf,,,,h30v08,,,2015
,,,,,,33,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015033.h30v09.061.2021319070500.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",64,-1,2015-03-05,2015-02-18,49,0.488539,0.3704,0.4934,0.5951,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015049.h28v08.061.2021320122535.hdf,0.076756,31333,8ab60c80a34a6b9a8fef13277a55d29a29ec63f5f7b80923510a45af4b4e05ac,h28v08,408218,3812256,2015
1311308,"[3808, 0, 4800, 2403]",64,-1,2015-03-05,2015-02-18,49,0.476522,0.3488,0.4774,0.587025,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015049.h28v09.061.2021320115936.hdf,0.009665,2044,9c6da93b1d72976906a2deec741a892279e904cb9c5fffc7b5f06d8cee2309ea,h28v09,211475,2383776,2015
17368598,"[0, 957, 4583, 4800]",64,-1,2015-03-05,2015-02-18,49,0.527202,0.3741,0.5197,0.6928,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015049.h29v08.061.2021320115849.hdf,0.095645,761754,67867186b78260911395a92631d5f9be63feb258103836be7b5ac967c5c80f29,h29v08,7964413,17612469,2015
10999187,"[0, 0, 4583, 2403]",64,-1,2015-03-05,2015-02-18,49,0.518173,0.3456,0.5167,0.699,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015049.h29v09.061.2021320091739.hdf,0.171813,968072,5dabaeace58298b90676b74eaa02f5ef545efc55415f42673e683c6e1df01865,h29v09,5634446,11012949,2015
,,,,,,49,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015049.h30v08.061.2021320102751.hdf,,,,h30v08,,,2015
,,,,,,49,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015049.h30v09.061.2021320111624.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",80,-1,2015-03-21,2015-03-06,65,0.559715,0.3782,0.5682,0.7054,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015065.h28v08.061.2021321043509.hdf,0.081227,33137,979f9fa6a12445f4683f89e75ffdf8735cfa8fd8a82260149467324812b746f5,h28v08,407954,3812256,2015
1311308,"[3808, 0, 4800, 2403]",80,-1,2015-03-21,2015-03-06,65,0.532342,0.39641,0.5298,0.678335,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015065.h28v09.061.2021321044949.hdf,0.007355,1552,72596527aa9c8ff0587e58123ad4cad092cd126c8c5a70171302f1460da86f01,h28v09,211010,2383776,2015
17368598,"[0, 957, 4583, 4800]",80,-1,2015-03-21,2015-03-06,65,0.5774,0.404,0.5897,0.7235,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015065.h29v08.061.2021321042102.hdf,0.206837,1646962,0b5d2925758a5c3ff54db225b598e97853893f20072b1d7d5ab67b29c8c121fe,h29v08,7962593,17612469,2015
10999187,"[0, 0, 4583, 2403]",80,-1,2015-03-21,2015-03-06,65,0.57152,0.3873,0.5756,0.7269,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015065.h29v09.061.2021321044322.hdf,0.072986,411451,a840253172b8441d45ec4fc240303139e1ac37e03310a73e27376d618317cca8,h29v09,5637391,11012949,2015
,,,,,,65,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015065.h30v08.061.2021321060629.hdf,,,,h30v08,,,2015
,,,,,,65,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015065.h30v09.061.2021321055400.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",96,-1,2015-04-06,2015-03-22,81,0.52556,0.3316,0.5425,0.6556,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015081.h28v08.061.2021321195341.hdf,0.039566,16153,e5f1e5daef37068f85f2b24f0e9772921b73932e9d4725b0e80e4c159367d3d2,h28v08,408257,3812256,2015
1311308,"[3808, 0, 4800, 2403]",96,-1,2015-04-06,2015-03-22,81,0.564021,0.40751,0.5557,0.72389,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015081.h28v09.061.2021321200009.hdf,0.019076,4043,3ff0ce34e8ce091030f94613c6a09e358d3ab6af4422898b309734dfa7f2f7b7,h28v09,211940,2383776,2015
17368598,"[0, 957, 4583, 4800]",96,-1,2015-04-06,2015-03-22,81,0.531097,0.3666,0.5328,0.6914,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015081.h29v08.061.2021321200019.hdf,0.236779,1884974,b3463284182cbdf31e609521ad6e59e1fe238f58a3a45c4d44cf8e4dfd67c2c0,h29v08,7960908,17612469,2015
10999187,"[0, 0, 4583, 2403]",96,-1,2015-04-06,2015-03-22,81,0.499722,0.2656,0.5129,0.6767,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015081.h29v09.061.2021321194124.hdf,0.171073,963961,20b7fc81b45776f91a81280ff6191237cdda250c4a6a9f089120cebfd18a4d97,h29v09,5634802,11012949,2015
,,,,,,81,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015081.h30v08.061.2021321195540.hdf,,,,h30v08,,,2015
,,,,,,81,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015081.h30v09.061.2021321195349.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",112,-1,2015-04-22,2015-04-07,97,0.518587,0.322,0.5372,0.6436,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015097.h28v08.061.2021323020416.hdf,0.17906,73032,95cf7e2a0221c99293b867a88c8bf56661720e7ea632445f34d9c695f27a4f96,h28v08,407863,3812256,2015
1311308,"[3808, 0, 4800, 2403]",112,-1,2015-04-22,2015-04-07,97,0.495371,0.3778,0.4941,0.60585,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015097.h28v09.061.2021323020956.hdf,0.066977,14131,70bd493cb2c017972cb9444f26cddf7523ed54e05e80372181cb6a8b595058bc,h28v09,210982,2383776,2015
17368598,"[0, 957, 4583, 4800]",112,-1,2015-04-22,2015-04-07,97,0.516536,0.3737,0.5108,0.6698,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015097.h29v08.061.2021323020652.hdf,0.127668,1016032,8331a7c165aa71764dd375af0620c2598cc56b0179a80608d2079f75ace456d0,h29v08,7958418,17612469,2015
10999187,"[0, 0, 4583, 2403]",112,-1,2015-04-22,2015-04-07,97,0.518863,0.2873,0.5379,0.6774,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015097.h29v09.061.2021323020035.hdf,0.189781,1069342,45db8c140b9b5880ec9be6d9d1b5a3c9b9db6a2c095d8e449bfd983ff20f063a,h29v09,5634621,11012949,2015
,,,,,,97,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015097.h30v08.061.2021323020418.hdf,,,,h30v08,,,2015
,,,,,,97,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015097.h30v09.061.2021323020113.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",128,-1,2015-05-08,2015-04-23,113,0.551362,0.3949,0.5593,0.6734,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015113.h28v08.061.2021323211418.hdf,0.383204,156349,c5796b54463bfe76de8c5ffdd4a80caf4069e440890f929051167dd2e246fe03,h28v08,408005,3812256,2015
1311308,"[3808, 0, 4800, 2403]",128,-1,2015-05-08,2015-04-23,113,0.506956,0.287515,0.51895,0.6541,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015113.h28v09.061.2021323201138.hdf,0.069055,14604,76ca36b4c046d54b9aef9d3cb85e9a2238b75f02f6cc3ef7e6b4cd8c4bd90711,h28v09,211483,2383776,2015
17368598,"[0, 957, 4583, 4800]",128,-1,2015-05-08,2015-04-23,113,0.539034,0.4028,0.5434,0.6624,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015113.h29v08.061.2021323213829.hdf,0.186391,1483849,47942db63aed838feee1044cb83ad6b6ed9cce6c371140282b8838f63727bc11,h29v08,7960963,17612469,2015
10999187,"[0, 0, 4583, 2403]",128,-1,2015-05-08,2015-04-23,113,0.545152,0.3352,0.5658,0.6789,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015113.h29v09.061.2021323210938.hdf,0.203278,1145555,4b297bb56b100488b2bc74a9c642d36d9735fce1cb023da8487ce051ef1aedb4,h29v09,5635413,11012949,2015
,,,,,,113,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015113.h30v08.061.2021323212838.hdf,,,,h30v08,,,2015
,,,,,,113,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015113.h30v09.061.2021323212309.hdf,,,,h30v09,,,2015
