bbox_pixels,bbox_window,composite_doy_max,composite_doy_min,composite_end,composite_start,doy,evi_mean_qa,evi_p05_qa,evi_p50_qa,evi_p95_qa,intersects_bbox,path,qa_pass_fraction_of_valid,qa_pass_pixels,sha256,tile,valid_evi_pixels,window_pixels,year
,,,,,,193,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015193.h30v09.061.2021329032307.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",223,-1,2015-08-12,2015-07-28,209,0.511552,0.3717,0.52035,0.6208,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015209.h28v08.061.2021329190311.hdf,0.627261,255846,93154ad0933d6d285a271c860179a9d7cc4a9f3298a4684e1198b6b8e6513901,h28v08,407878,3812256,2015
1311308,"[3808, 0, 4800, 2403]",223,-1,2015-08-12,2015-07-28,209,0.568738,0.4169,0.5868,0.6713,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015209.h28v09.061.2021329185424.hdf,0.474934,100279,145ffb2277f43c53f93f07615237e5285df2c954225d525c1d4013d0aaedf3dc,h28v09,211143,2383776,2015
17368598,"[0, 957, 4583, 4800]",224,-1,2015-08-12,2015-07-28,209,0.570992,0.4281,0.5828,0.6748,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015209.h29v08.061.2021329191721.hdf,0.158478,1261389,53ff48849f9ad3e5026c40954cc1aa3b22e3991e13b99cd7d23932cc0c44f2f7,h29v08,7959414,17612469,2015
10999187,"[0, 0, 4583, 2403]",224,-1,2015-08-12,2015-07-28,209,0.511175,0.3341,0.523,0.6475,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015209.h29v09.061.2021329190854.hdf,0.282094,1590258,5ed8e21bb22503e5ab9cdfb6ccb405c53485a795754245d33225424cd953e90e,h29v09,5637331,11012949,2015
,,,,,,209,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015209.h30v08.061.2021329235406.hdf,,,,h30v08,,,2015
,,,,,,209,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015209.h30v09.061.2021329190417.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",240,-1,2015-08-28,2015-08-13,225,0.575225,0.4309,0.5762,0.6993,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015225.h28v08.061.2021331162730.hdf,0.20021,81713,57e28388f95e7d0d896dd6275075cb54775cff7c30525108bec746f8941d1af1,h28v08,408136,3812256,2015
1311308,"[3808, 0, 4800, 2403]",240,-1,2015-08-28,2015-08-13,225,0.54163,0.373015,0.5587,0.6538,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015225.h28v09.061.2021331161912.hdf,0.148307,31344,462f7dab4c6041050d75aad85221d2abc38f362cacb516e2e054a8fa08c16b1a,h28v09,211345,2383776,2015
17368598,"[0, 957, 4583, 4800]",240,-1,2015-08-28,2015-08-13,225,0.580412,0.4463,0.59,0.6906,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015225.h29v08.061.2021331163108.hdf,0.072571,577965,f1a3e5e104865df8114b7f12d16e33b0c687db5b792aafb26a6a0c6e740303fa,h29v08,7964109,17612469,2015
10999187,"[0, 0, 4583, 2403]",240,-1,2015-08-28,2015-08-13,225,0.474201,0.2825,0.4767,0.6345,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015225.h29v09.061.2021331161656.hdf,0.163716,922825,4043fe9283c6eba4dd7c175681541e486ec038a2db8c660bd36d96d1801238b9,h29v09,5636745,11012949,2015
,,,,,,225,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015225.h30v08.061.2021331161851.hdf,,,,h30v08,,,2015
,,,,,,225,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015225.h30v09.061.2021331163739.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",256,-1,2015-09-13,2015-08-29,241,0.605504,0.47185,0.60405,0.7137,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015241.h28v08.061.2021331193721.hdf,0.007054,2876,af3d1409cb117ea2bf824ba937283e8b4fbf521e019fb503a42d01af35ded5cf,h28v08,407711,3812256,2015
1311308,"[3808, 0, 4800, 2403]",256,-1,2015-09-13,2015-08-29,241,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015241.h28v09.061.2021331193522.hdf,0.0,0,9e8818d2e2201bbbe3cf5697bee0c1af6a645fa7f5cc5b316e4f80e4b1e802eb,h28v09,211421,2383776,2015
17368598,"[0, 957, 4583, 4800]",256,-1,2015-09-13,2015-08-29,241,0.551701,0.4225,0.5492,0.6932,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015241.h29v08.061.2021331194939.hdf,0.042184,335889,c7ac6eac7425c18055936076a9fca2d0148a290d5a2be36c643b85235ea50841,h29v08,7962504,17612469,2015
10999187,"[0, 0, 4583, 2403]",256,-1,2015-09-13,2015-08-29,241,0.511478,0.2794,0.5374,0.6523,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015241.h29v09.061.2021331195000.hdf,0.181954,1025238,ea6503a501df8ce43aae54b952899622e6045acc8aa327085d25da5cbeef74aa,h29v09,5634606,11012949,2015
,,,,,,241,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015241.h30v08.061.2021331195744.hdf,,,,h30v08,,,2015
,,,,,,241,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015241.h30v09.061.2021331195822.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",272,-1,2015-09-29,2015-09-14,257,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015257.h28v08.061.2021332145353.hdf,0.0,0,a39b6ee3c9c53ccb5cd912806b976078cfa6715764c577cf98840c342a3a44bf,h28v08,408245,3812256,2015
1311308,"[3808, 0, 4800, 2403]",272,-1,2015-09-29,2015-09-14,257,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015257.h28v09.061.2021332141658.hdf,0.0,0,6eb5f2e677e4b32e903d0f1dfe0d9214f5751d2dd376da81ed99d745434c67ba,h28v09,211281,2383776,2015
17368598,"[0, 957, 4583, 4800]",272,-1,2015-09-29,2015-09-14,257,0.520412,0.4135,0.5213,0.6217,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015257.h29v08.061.2021332150615.hdf,0.017693,140951,62388087b303c97fc9113aee5f15b92b2ba4e30b43cd7f708cbc53a4fc46758b,h29v08,7966656,17612469,2015
10999187,"[0, 0, 4583, 2403]",272,-1,2015-09-29,2015-09-14,257,0.436425,0.2175,0.4479,0.6306,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015257.h29v09.061.2021332141102.hdf,0.071634,403734,5966951957244145c652785c9885dc61ca15937ce78d7e1361947a72e790f7a6,h29v09,5636046,11012949,2015
,,,,,,257,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015257.h30v08.061.2021332145734.hdf,,,,h30v08,,,2015
,,,,,,257,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015257.h30v09.061.2021332140805.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",288,-1,2015-10-15,2015-09-30,273,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015273.h28v08.061.2021333105435.hdf,0.0,0,dc9f2b71dbfc04bbfc2e25342fece71e3876e447396aa0451fedd32e4ecb7097,h28v08,408085,3812256,2015
1311308,"[3808, 0, 4800, 2403]",288,-1,2015-10-15,2015-09-30,273,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015273.h28v09.061.2021333105734.hdf,0.0,0,4a984603f35940077764827caa1c40d0469e30d1568ceb767adc190e0cf88893,h28v09,211102,2383776,2015
17368598,"[0, 957, 4583, 4800]",288,-1,2015-10-15,2015-09-30,273,0.50019,0.4059,0.4897,0.6391,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015273.h29v08.061.2021333104528.hdf,0.139618,1111831,594ace87e2c559bfac33db5c397bccd8b2a674ce8fbfee2d1572f2f439f04cf1,h29v08,7963396,17612469,2015
10999187,"[0, 0, 4583, 2403]",288,-1,2015-10-15,2015-09-30,273,0.43119,0.1947,0.4562,0.6079,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015273.h29v09.061.2021333112348.hdf,0.072372,407811,802dc19076b671cbb4c303896ca140ad4864f7530f093c583a71470a37a7c019,h29v09,5634920,11012949,2015
,,,,,,273,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015273.h30v08.061.2021333112742.hdf,,,,h30v08,,,2015
,,,,,,273,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015273.h30v09.061.2021333113248.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",304,-1,2015-10-31,2015-10-16,289,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015289.h28v08.061.2021335225148.hdf,0.0,0,c7a041f32cf85cde945bb5d800cea004b9ab0ca54a767795619570d09f2c332d,h28v08,407907,3812256,2015
1311308,"[3808, 0, 4800, 2403]",304,-1,2015-10-31,2015-10-16,289,,,,,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015289.h28v09.061.2021335224319.hdf,0.0,0,ae296bbd1f307628cab897468c70c6e76a2428728ed6779afe881b3f65c0d51a,h28v09,211144,2383776,2015
17368598,"[0, 957, 4583, 4800]",304,-1,2015-10-31,2015-10-16,289,0.567188,0.4192,0.577,0.6851,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015289.h29v08.061.2021335224959.hdf,0.018295,145732,8cf771a37bbfaae3a8ee332b79bf3c1bbef153fa4b5a86e587fdadbde94b7eeb,h29v08,7965773,17612469,2015
10999187,"[0, 0, 4583, 2403]",304,-1,2015-10-31,2015-10-16,289,0.41937,0.1963,0.4393,0.5943,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015289.h29v09.061.2021335225025.hdf,0.032674,184141,5de961765bdd196bff4af628033e0f40f71eee21ce4c5cb662bb59bb72209376,h29v09,5635672,11012949,2015
,,,,,,289,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015289.h30v08.061.2021335225520.hdf,,,,h30v08,,,2015
,,,,,,289,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015289.h30v09.061.2021335225547.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",320,-1,2015-11-16,2015-11-01,305,0.565477,0.4298,0.5617,0.6979,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015305.h28v08.061.2021336140852.hdf,0.144715,59071,a54c3eb04a21cb1045cbf58f4007a48f07280b48bbef7302e5fabc5b69d608c1,h28v08,408189,3812256,2015
1311308,"[3808, 0, 4800, 2403]",320,-1,2015-11-16,2015-11-01,305,0.562207,0.36109,0.5734,0.6953,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015305.h28v09.061.2021336141222.hdf,0.296187,62319,fc5b6ea79b9b34a8e01cd5a269cc1e6f8222fa409e9caef13fa8b862f1db762e,h28v09,210404,2383776,2015
17368598,"[0, 957, 4583, 4800]",320,-1,2015-11-16,2015-11-01,305,0.530205,0.4002,0.5335,0.657,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015305.h29v08.061.2021336140905.hdf,0.060727,483391,39de5881069ee5bce20a3f8189ada3d1c3da87b6e949a335c72c2f25970c9f6a,h29v08,7960083,17612469,2015
10999187,"[0, 0, 4583, 2403]",320,-1,2015-11-16,2015-11-01,305,0.495821,0.2341,0.5259,0.6629,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015305.h29v09.061.2021336140630.hdf,0.047622,268340,f2c47ab49131a0d30d000068ea89e7093b15114d078660d443200dcd9b7372fc,h29v09,5634778,11012949,2015
,,,,,,305,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015305.h30v08.061.2021336140208.hdf,,,,h30v08,,,2015
,,,,,,305,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015305.h30v09.061.2021336140710.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",336,-1,2015-12-02,2015-11-17,321,0.599573,0.461355,0.6122,0.692445,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015321.h28v08.061.2021337060008.hdf,0.03574,14592,feb6eddbe8377410e520b7fb37434f7b5a120c213a993062ce4cb600c2f4d8d9,h28v08,408283,3812256,2015
1311308,"[3808, 0, 4800, 2403]",336,-1,2015-12-02,2015-11-17,321,0.510176,0.290945,0.5287,0.6394,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015321.h28v09.061.2021337060753.hdf,0.28392,60010,d5c5bdf535fd60c2e9e16b6d338f45e99f8490662873504b84792590eb5b21ff,h28v09,211362,2383776,2015
17368598,"[0, 957, 4583, 4800]",336,-1,2015-12-02,2015-11-17,321,0.546664,0.4019,0.5584,0.6646,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015321.h29v08.061.2021337055635.hdf,0.085093,677233,5486286b14a8191c0f4adcc67656a5ed46eab9035401df71685bda5474c51995,h29v08,7958735,17612469,2015
10999187,"[0, 0, 4583, 2403]",336,-1,2015-12-02,2015-11-17,321,0.471115,0.2223,0.5009,0.6395,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015321.h29v09.061.2021337061523.hdf,0.064563,363772,b8d5abace2bc424880de03e7e3a96cce7d4b3fb505bc292cd868d35768028c80,h29v09,5634366,11012949,2015
,,,,,,321,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015321.h30v08.061.2021337060606.hdf,,,,h30v08,,,2015
,,,,,,321,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015321.h30v09.061.2021337054309.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",352,-1,2015-12-18,2015-12-03,337,0.565843,0.4344,0.5689,0.68116,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015337.h28v08.061.2021342135118.hdf,0.012678,5175,d69684f5b65abdc5dd1339849b5027830ac9dfe5a9e33f1ec075513f98a3d501,h28v08,408198,3812256,2015
1311308,"[3808, 0, 4800, 2403]",352,-1,2015-12-18,2015-12-03,337,0.550943,0.412835,0.5511,0.6838,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015337.h28v09.061.2021342134910.hdf,0.007041,1488,a7fba202a49b5b1e73586b9968a9fa02ab630b09a5f8b0120e4f926ab25c93e3,h28v09,211328,2383776,2015
17368598,"[0, 957, 4583, 4800]",352,-1,2015-12-18,2015-12-03,337,0.491697,0.3678,0.4941,0.6167,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015337.h29v08.061.2021342132042.hdf,0.067673,538867,3c68f8e049c76d6700066256c7c52b931e9dce1484913591bcbbc38f3f7d21fd,h29v08,7962789,17612469,2015
10999187,"[0, 0, 4583, 2403]",352,-1,2015-12-18,2015-12-03,337,0.493673,0.2263,0.517,0.6687,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015337.h29v09.061.2021342135017.hdf,0.031718,178820,15f68b9d61b603cc66eeed0cd1c2bb9250b40e52853fcfa35cbc800563ffa8d0,h29v09,5637803,11012949,2015
,,,,,,337,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015337.h30v08.061.2021342135437.hdf,,,,h30v08,,,2015
,,,,,,337,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015337.h30v09.061.2021342134958.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",365,-1,2016-01-03,2015-12-19,353,0.551165,0.4067,0.5648,0.6477,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015353.h28v08.061.2021342185117.hdf,0.747709,304942,85f2bfdd3e9a65a137a4c319cb1c90a03d037c8a21ad1f557b8be26d408ddebf,h28v08,407835,3812256,2015
1311308,"[3808, 0, 4800, 2403]",365,-1,2016-01-03,2015-12-19,353,0.521345,0.344,0.5307,0.6413,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015353.h28v09.061.2021342190149.hdf,0.487655,102942,904d3b21f8adc5f31beb450dfb526427a2f1e66461b9f2227a159d0cbfb56ab0,h28v09,211096,2383776,2015
17368598,"[0, 957, 4583, 4800]",365,-1,2016-01-03,2015-12-19,353,0.515276,0.3919,0.5156,0.6478,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015353.h29v08.061.2021342192928.hdf,0.189716,1509890,eb7567c2677bff72c8cc966769f6e001a06fb6691563bae0c781b74a7a89f7a1,h29v08,7958666,17612469,2015
10999187,"[0, 0, 4583, 2403]",365,-1,2016-01-03,2015-12-19,353,0.527755,0.2996,0.5442,0.6827,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015353.h29v09.061.2021342191314.hdf,0.236395,1331924,c4378a4746e0b59fbf2338e2d7549db80e36b034e1de828f224b33145bc10652,h29v09,5634308,11012949,2015
,,,,,,353,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015353.h30v08.061.2021342191931.hdf,,,,h30v08,,,2015
,,,,,,353,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015353.h30v09.061.2021342192358.hdf,,,,h30v09,,,2015
