analysis,matched_sets,adjusted_risk_difference_pp,ci95_low_pp,ci95_high_pp,p_two_sided
"Primary: ≥10%, 1 year",7138,5.887780947061065,4.5240263562408485,7.251535537881281,2.628977922662151e-17
"≥5%, 1 year",7138,10.77921096135622,9.069230173046712,12.48919174966573,4.5629100959180154e-35
"≥20%, 1 year",7138,2.75570640058282,1.7409297856981094,3.7704830154675304,1.0233081257748611e-07
"≥10%, 2 years",5932,5.9251867554025965,4.2594621453553625,7.590911365449831,3.1255451445250605e-12
"≥10%, 3 years",5786,6.098760732666801,4.4166063506779905,7.780915114655613,1.1936085757532225e-12
