year,matched_sets,variation_sets,adjusted_risk_difference_pp,ci95_low_pp,ci95_high_pp,p_two_sided
2015,2469,877,9.069006670565601,6.462172734114277,11.675840607016925,9.185955138772552e-12
2016,676,106,3.1866573812442915,0.9178054803684242,5.4555092821201585,0.005907581579584685
2017,188,27,0.6147758888072953,-3.747939282003548,4.9774910596181385,0.7823981872477563
2018,1289,237,0.7975963690791331,-2.1067910052988035,3.70198374345707,0.5904038997922694
2019,761,103,2.916962045376842,0.5868177837737125,5.247106306979972,0.014143359274505402
2020,294,40,3.7112150975881906,0.31170345606750804,7.110726739108873,0.03237791218351378
2021,109,17,4.361112544033992,-0.9374713658608959,9.659696453928882,0.10669675869346776
2022,146,28,2.8106006590123718,-3.114070538618066,8.73527185664281,0.352473071958452
2023,1206,297,9.753366484853366,7.052424899706996,12.454308069999737,1.4651020130194493e-12
