pre_index_minimum_natural_forest_percent,registered_primary_threshold,matched_sets,excluded_matched_sets,adjusted_risk_difference_pp,ci95_low_pp,ci95_high_pp,p_two_sided
50.0,False,10774,1404,5.499917393453412,3.939435226703239,7.060399560203585,4.91473423059255e-12
60.0,False,9805,2373,5.079585160460453,3.5161996669024544,6.642970654018451,1.9123118314091297e-10
70.0,True,7138,5040,5.887780947061065,4.5240263562408485,7.251535537881281,2.628977922662151e-17
80.0,False,3861,8317,4.23000913148966,2.9470491002445134,5.512969162734807,1.0315246969346375e-10
